Ano,Código da Área,Área de Avaliação,Grau acadêmico,Código da IES*,Nome da IES*,Sigla da IES*,Organização Acadêmica*,Categoria Administrativa*,Código do Curso**,Modalidade de Ensino***,Código do Município***,Município do Curso***,Sigla da UF** , Nº de Concluintes Inscritos, Nº de Concluintes Participantes, Nota Bruta - FG, Nota Padronizada - FG, Nota Bruta - CE, Nota Padronizada - CE, Conceito Enade (Contínuo), Concluintes participantes com nota no Enem, Proporção de concluintes participantes com nota no Enem, Nota Bruta - IDD, Nota Padronizada - IDD, Nota Bruta – Organização Didático-Pedagógica, Nota Padronizada - Organização Didático-Pedagógica, Nota Bruta – Infraestrutura e Instalações Físicas, Nota Padronizada - Infraestrutura e Instalações Físicas, Nota Bruta – Oportunidade de Ampliação da Formação, Nota Padronizada - Oportunidade de Ampliação da Formação, Nota Bruta - Mestres, Nota Padronizada - Mestres, Nota Bruta - Doutores, Nota Padronizada - Doutores, Nota Bruta – Regime de Trabalho, Nota Padronizada - Regime de Trabalho, CPC (Contínuo), CPC (Faixa),Observação
2021,2001,PEDAGOGIA (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,6,Educação Presencial,5103403,Cuiabá,MT,18,7,51.185,5.000,60.985,4.738,4.803,7,1.000,4.285,4.085,4.754,0.641,4.578,1.734,4.368,1.916,0.979,4.852,0.857,4.285,1,5,3.955,4,
2021,3502,EDUCAÇÃO FÍSICA (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,19,Educação Presencial,5103403,Cuiabá,MT,34,21,38.033,3.456,40.542,2.590,2.807,21,1.000,-0.660,2.324,5.506,3.621,5.471,3.866,5.43,4.071,1,5,0.923,4.615,1,5,3.383,4,
2021,702,MATEMÁTICA (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,26,Educação Presencial,5103403,Cuiabá,MT,16,16,33.431,2.074,42.025,2.049,2.055,16,1.000,-0.842,2.104,4.895,1.876,4.744,2.13,4.98,3.161,1,5,0.868,4.342,1,5,2.875,3,
2021,1402,FÍSICA (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,27,Educação Presencial,5103403,Cuiabá,MT,9,8,40.925,2.708,34.750,1.796,2.024,6,0.750,-4.553,1.291,5.047,2.424,4.841,2.611,4.923,3.201,1,5,0.923,4.615,1,5,2.691,3,
2021,1602,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,29,Educação Presencial,5103403,Cuiabá,MT,31,29,41.331,2.988,45.975,2.672,2.751,29,1.000,0.058,2.470,5.124,2.596,4.925,2.802,4.641,2.699,1,5,0.928,4.642,1,5,3.263,4,
2021,4004,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),Bacharelado,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,36,Educação Presencial,5103403,Cuiabá,MT,41,36,38.841,2.735,39.980,2.681,2.695,36,1.000,-0.488,2.444,4.06,0.56,4.59,1.883,3.958,2.054,1,5,0.941,4.705,1,5,3.037,4,
2021,702,MATEMÁTICA (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,18354,Educação Presencial,5106653,Pontal do Araguaia,MT,11,9,31.644,1.819,41.088,1.959,1.924,9,1.000,-0.176,2.347,4.461,0.652,4.488,1.546,4.613,2.5,1,5,1,5,1,5,2.895,3,
2021,905,LETRAS-PORTUGUÊS E INGLÊS (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,22118,Educação Presencial,5103403,Cuiabá,MT,9,8,51.487,4.089,47.612,3.322,3.513,8,1.000,-1.367,1.911,5.425,2.885,4.889,2.534,4.883,2.994,0.944,4.618,0.777,3.888,1,5,3.094,4,
2021,904,LETRAS-PORTUGUÊS (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,25903,Educação Presencial,5103403,Cuiabá,MT,8,5,42.820,3.448,46.840,2.458,2.706,5,1.000,-3.367,0.942,4.947,1.439,4.266,1.243,4.508,2.203,0.952,4.494,0.714,3.571,1,5,2.343,3,
2021,904,LETRAS-PORTUGUÊS (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,25949,Educação Presencial,5101803,Barra do Garças,MT,28,27,41.751,3.307,47.448,2.530,2.724,27,1.000,-0.541,1.968,5.397,2.961,4.653,2.08,4.969,3.067,0.888,3.819,0.777,3.888,1,5,2.881,3,
2021,906,LETRAS-PORTUGUÊS E ESPANHOL (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,26025,Educação Presencial,5103403,Cuiabá,MT,5,3,65.600,5.000,43.800,2.225,2.919,3,1.000,1.227,2.455,3.914,0,2.87,0,4.206,0.827,1,5,0.866,4.333,1,5,2.863,3,
2021,1602,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,41690,Educação Presencial,5106653,Pontal do Araguaia,MT,31,28,36.996,2.446,43.171,2.325,2.355,28,1.000,-0.891,2.130,4.965,2.158,4.865,2.679,4.849,3.051,0.888,3.95,0.833,4.166,1,5,2.885,3,
2021,4301,MÚSICA (LICENCIATURA),Licenciatura,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,94331,Educação Presencial,5103403,Cuiabá,MT,7,5,27.680,0.442,43.880,1.717,1.398,5,1.000,0.813,2.423,4.679,0,4.564,2.2,4.628,2.48,1,5,0.941,4.705,1,5,2.755,3,
